Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
R&D,13,1266670.43,20,8.59,9,Agile,Senior,1,3,0.21,Monitoring,Stable,0.17,0.77,1,2.62,Medium,New,4,Poor,0.07,0.66,Weak,Mixed,0.03,9.69,0.83,Medium,2.39,0,0.73,0.0,Senior PM,Defined,High,Limited,Cost-Plus,Low,High,Occasional,Basic,Unknown,Hybrid,Good,8,4,1.0,High
Marketing,10,1337256.7,13,5.31,12,Scrum,Senior,5,2,0.9,Planning,Moderate,0.12,0.84,2,1.26,High,Expert,3,Excellent,0.02,0.74,Moderate,External,0.95,3.02,0.42,Medium,0.98,4,0.73,0.0,Senior PM,Ad-hoc,Strict,Good,Fixed-Price,Medium,Extreme,Strategic,Unknown,Basic,Partially Colocated,Poor,6,4,1.0,Medium
R&D,22,2414721.97,27,10.0,22,Scrum,Junior,0,7,1.48,Execution,Volatile,0.19,0.84,1,1.72,Critical,New,4,Poor,0.0,0.86,Moderate,Government,0.48,8.66,0.7,High,0.23,1,0.76,0.0,Junior PM,Defined,Strict,Limited,Cost-Plus,Medium,Extreme,Strategic,Basic,Basic,Fully Colocated,Basic,5,8,1.0,Critical
IT,15,756084.75,19,8.54,9,Scrum,Senior,2,5,1.49,Closure,Moderate,0.43,0.78,4,1.3,Medium,New,5,Medium,0.11,1.0,Moderate,Mixed,0.84,7.85,0.51,Medium,0.92,6,0.91,0.63,Senior PM,Optimizing,Strict,Moderate,Time & Materials,Low,Moderate,First-time,Advanced,Advanced,Fully Colocated,Poor,4,2,1.0,Medium
Construction,45,3172023.95,35,7.52,23,Hybrid,Junior,1,3,1.98,Monitoring,Stable,0.56,0.96,2,4.5,High,Familiar,1,Excellent,0.0,0.99,Strong,External,0.91,2.35,0.54,Low,1.12,0,0.66,0.0,Mid-level PM,Defined,Low,Moderate,Time & Materials,Medium,Extreme,Strategic,Formal,Basic,Fully Remote,Excellent,8,10,1.0,Medium
Marketing,8,511317.06,7,3.55,4,Hybrid,Mixed,1,2,1.61,Initiation,Moderate,0.38,0.36,1,1.44,High,Familiar,3,Poor,0.21,1.14,Moderate,Internal,0.68,4.34,0.68,High,1.17,4,0.89,0.0,Mid-level PM,Managed,High,Moderate,Time & Materials,Low,Extreme,Occasional,Basic,Unknown,Fully Remote,Good,2,2,1.0,High
Healthcare,6,343493.3,6,2.35,9,Waterfall,Senior,4,3,1.57,Planning,Moderate,0.16,0.59,3,3.35,Critical,Familiar,2,High,0.0,1.16,Moderate,Internal,0.14,1.29,0.83,Critical,0.93,4,0.7,0.0,Senior PM,Defined,High,Excellent,Time & Materials,Medium,Stable,Occasional,Unknown,Formal,Fully Remote,Poor,4,2,1.0,Medium
IT,8,805691.97,11,5.28,9,Agile,Junior,0,4,3.58,Planning,Moderate,0.2,0.83,1,5.02,Medium,Familiar,1,High,0.17,1.1,Strong,External,0.22,7.49,0.7,Medium,0.98,1,0.9,0.91,Mid-level PM,Managed,Low,Good,Time & Materials,Medium,Moderate,Strategic,Basic,Formal,Fully Colocated,Good,10,1,1.1,Low
IT,10,865359.03,10,3.93,7,Agile,Junior,0,3,2.64,Execution,Moderate,0.15,0.48,1,3.29,High,New,1,Excellent,0.0,0.7,Weak,External,0.97,5.77,0.36,Medium,0.72,3,0.85,0.61,Junior PM,Optimizing,Strict,Excellent,Fixed-Price,Low,Moderate,Regular,Formal,Basic,Partially Colocated,Good,5,1,1.0,Medium
Healthcare,17,905109.36,21,6.25,8,Waterfall,Mixed,1,2,5.59,Monitoring,Stable,0.4,0.69,3,10.06,Critical,Expert,4,High,0.0,0.98,Strong,Internal,0.48,4.84,0.53,Critical,0.27,1,0.69,0.0,Senior PM,Managed,Low,Good,Cost-Plus,Low,Moderate,Strategic,Unknown,Unknown,Hybrid,Excellent,6,7,1.0,Low
R&D,18,1451364.29,20,7.54,14,Agile,Mixed,2,4,1.25,Execution,Volatile,0.1,0.74,1,5.95,High,Familiar,2,Excellent,0.0,1.29,Moderate,Government,0.18,3.94,0.34,Medium,0.62,5,0.88,0.0,Senior PM,Ad-hoc,High,Moderate,Time & Materials,Medium,Stable,Regular,Unknown,Unknown,Hybrid,Basic,4,5,1.0,High
R&D,14,1335171.39,19,8.72,10,Scrum,Mixed,2,6,1.14,Monitoring,Stable,0.52,0.38,0,2.53,Medium,New,5,Low,0.13,1.22,Moderate,External,0.94,1.27,0.73,Critical,0.66,7,0.74,0.0,Junior PM,Managed,Medium,Limited,Time & Materials,Low,High,Occasional,Formal,Formal,Hybrid,Good,1,6,1.0,Critical
Healthcare,14,1206112.7,16,6.66,13,Scrum,Senior,2,4,1.0,Planning,Moderate,0.19,0.41,2,5.1,Low,Expert,3,Poor,0.04,1.17,Strong,External,0.92,9.32,0.64,High,3.2,0,0.69,0.0,Mid-level PM,Managed,Strict,Limited,Fixed-Price,Low,High,Strategic,Formal,Formal,Fully Remote,Poor,6,5,1.0,Medium
Healthcare,3,415755.1,7,2.1,7,Hybrid,Mixed,0,1,0.56,Execution,Moderate,0.24,0.64,0,4.65,Critical,Familiar,1,High,0.0,0.84,Moderate,External,0.34,7.89,0.65,High,1.53,2,0.93,0.0,Junior PM,Managed,Medium,Good,Time & Materials,High,Stable,Regular,Basic,Formal,Hybrid,Good,10,2,1.0,Medium
Marketing,7,745059.69,15,6.72,5,Scrum,Senior,2,5,1.22,Initiation,Moderate,0.05,0.97,1,1.78,Medium,Familiar,2,Excellent,0.11,0.89,Moderate,Internal,0.69,3.66,0.5,Low,2.67,4,0.54,0.0,Certified PM,Managed,High,Excellent,Fixed-Price,Low,Moderate,First-time,Formal,Unknown,Fully Remote,Basic,8,5,1.0,Medium
R&D,16,1108397.1,19,8.83,13,Agile,Junior,2,4,2.05,Planning,Stable,0.46,0.87,1,1.62,Low,New,2,Low,0.14,0.63,Strong,External,0.69,1.55,0.83,Medium,0.55,5,0.76,0.0,Senior PM,Optimizing,Medium,Poor,Fixed-Price,Medium,High,First-time,Advanced,Advanced,Partially Colocated,Basic,9,1,1.0,Medium
Marketing,6,425521.49,7,2.44,5,Hybrid,Senior,6,1,6.59,Planning,Moderate,0.45,0.73,1,4.74,High,Expert,2,High,0.0,0.83,Strong,Internal,0.39,5.78,1.0,Medium,0.71,1,0.78,0.0,Mid-level PM,Managed,Medium,Good,Fixed-Price,Medium,High,Occasional,Unknown,Formal,Partially Colocated,Basic,10,1,1.1,Low
Construction,21,1549543.69,17,4.18,16,Waterfall,Mixed,1,4,1.57,Initiation,Stable,0.57,0.81,4,1.06,Medium,New,3,Medium,0.0,1.17,Moderate,Mixed,0.53,1.92,0.35,High,3.6,3,0.87,0.0,Junior PM,Managed,Low,Limited,Fixed-Price,Medium,Moderate,Occasional,Formal,Basic,Fully Remote,Basic,2,4,1.0,Critical
Manufacturing,11,860945.5,11,5.17,11,Scrum,Mixed,0,1,1.08,Execution,Moderate,0.39,0.69,1,10.63,High,Familiar,2,Excellent,0.15,0.64,Strong,Internal,0.33,6.19,0.59,Critical,1.29,0,0.96,0.0,Certified PM,Defined,Low,Good,Time & Materials,Medium,Moderate,Regular,Advanced,Basic,Fully Remote,Basic,2,3,1.0,Low
IT,14,1295660.81,19,8.2,12,Scrum,Junior,2,3,1.94,Planning,Stable,0.61,0.72,0,2.93,Critical,Familiar,2,Excellent,0.07,1.19,Moderate,Internal,0.99,9.26,0.47,Critical,3.0,3,0.76,0.75,Senior PM,Defined,Strict,Moderate,Fixed-Price,Medium,High,Strategic,Advanced,Unknown,Partially Colocated,Poor,12,7,1.1,High
R&D,24,2381328.65,25,9.7,19,Agile,Senior,5,5,0.43,Initiation,Stable,0.24,0.7,2,2.98,Critical,Familiar,1,Poor,0.0,0.76,Moderate,Government,0.55,1.78,0.39,Critical,1.32,6,0.52,0.0,Senior PM,Defined,Low,Poor,Cost-Plus,Medium,Extreme,Strategic,Formal,Basic,Fully Colocated,Good,3,7,1.0,Critical
IT,7,813254.52,8,3.34,9,Scrum,Senior,1,1,4.36,Planning,Moderate,0.23,0.65,1,2.63,High,New,5,Medium,0.04,0.98,Moderate,Internal,0.26,8.62,0.33,Low,2.35,6,0.92,0.95,Senior PM,Optimizing,Strict,Limited,Hybrid,Medium,Moderate,Strategic,Formal,Basic,Fully Remote,Good,11,3,1.1,Medium
R&D,20,2107881.29,24,7.88,19,Agile,Senior,3,5,2.52,Initiation,Moderate,0.04,0.76,0,1.25,Critical,Familiar,3,Excellent,0.0,1.18,Weak,Internal,0.62,3.68,0.57,High,0.68,6,0.78,0.0,Certified PM,Optimizing,Medium,Moderate,Time & Materials,High,Stable,Regular,Formal,Basic,Hybrid,Good,4,2,1.0,High
Construction,39,2648912.47,26,5.37,22,Waterfall,Mixed,2,1,0.14,Execution,Moderate,0.08,0.89,1,4.42,Medium,New,1,Low,0.0,0.97,Strong,External,0.57,1.11,0.63,Critical,0.27,2,0.73,0.0,Senior PM,Optimizing,Medium,Good,Fixed-Price,High,Stable,Strategic,Unknown,Advanced,Fully Colocated,Excellent,8,10,1.0,Low
Manufacturing,13,1137168.08,14,4.75,10,Kanban,Senior,2,4,0.82,Closure,Volatile,0.28,0.69,0,2.26,Critical,Expert,3,High,0.0,1.24,Weak,Government,0.85,3.08,0.66,Critical,0.51,3,0.8,0.0,Mid-level PM,Defined,Low,Excellent,Hybrid,Low,Stable,Strategic,Basic,Basic,Fully Remote,Excellent,10,4,1.0,Low
Marketing,8,674028.6,10,3.01,5,Scrum,Expert,0,2,0.93,Closure,Moderate,0.28,0.72,0,2.48,High,Expert,4,Excellent,0.0,1.02,Strong,Mixed,0.67,1.08,0.39,Low,0.06,4,0.79,0.0,Senior PM,Optimizing,Low,Excellent,Hybrid,Medium,Moderate,Occasional,Unknown,Formal,Hybrid,Excellent,9,1,1.0,Low
IT,12,948673.34,11,5.17,7,Agile,Senior,1,1,2.82,Execution,Volatile,0.28,0.71,2,2.13,Low,Expert,2,Poor,0.15,0.72,Weak,Mixed,0.71,4.39,0.52,Medium,1.39,2,0.74,0.49,Senior PM,Defined,High,Poor,Time & Materials,Medium,Moderate,Strategic,Formal,Basic,Fully Colocated,Basic,5,4,1.0,High
Healthcare,2,397577.88,6,3.29,9,Agile,Expert,5,0,0.86,Monitoring,Stable,0.14,0.74,4,2.99,Medium,Familiar,5,Low,0.27,0.79,Strong,External,0.02,8.93,0.33,Critical,0.68,0,0.82,0.0,Certified PM,Managed,High,Limited,Fixed-Price,High,Moderate,Regular,Basic,Formal,Partially Colocated,Good,6,2,1.0,Low
IT,6,332879.9,6,3.26,4,Agile,Senior,1,1,0.78,Initiation,Stable,0.16,0.66,1,2.34,High,Familiar,5,Low,0.26,0.82,Moderate,External,0.69,7.83,0.98,High,4.89,4,0.76,0.51,Senior PM,Defined,High,Moderate,Fixed-Price,Low,Moderate,Occasional,Formal,Advanced,Hybrid,Basic,11,1,1.1,Low
R&D,26,1947764.29,28,10.0,15,Agile,Senior,4,7,0.99,Planning,Stable,0.33,0.81,2,4.37,High,Familiar,2,Excellent,0.0,1.24,Moderate,External,0.15,8.5,0.77,Medium,1.93,2,0.72,0.0,Mid-level PM,Managed,Low,Poor,Fixed-Price,Low,High,Regular,Formal,Advanced,Hybrid,Basic,1,13,1.0,Medium
Marketing,14,543196.46,16,6.44,4,Waterfall,Junior,0,3,0.54,Planning,Stable,0.37,0.59,1,5.57,Critical,Expert,1,Low,0.01,0.78,Weak,Mixed,0.84,7.97,0.9,Low,2.77,2,0.89,0.0,Mid-level PM,Managed,Strict,Limited,Cost-Plus,High,Moderate,First-time,Advanced,Formal,Partially Colocated,Good,5,4,1.0,High
Construction,25,1432600.27,25,6.61,11,Waterfall,Senior,3,5,2.23,Initiation,Stable,0.24,0.41,1,1.11,Critical,Familiar,5,High,0.0,1.29,Moderate,External,0.89,4.9,0.33,High,0.2,1,0.83,0.0,Senior PM,Ad-hoc,High,Excellent,Cost-Plus,Medium,High,First-time,Unknown,Unknown,Fully Remote,Poor,1,10,1.0,Critical
IT,14,1363031.68,22,8.13,13,Agile,Senior,4,3,1.41,Execution,Moderate,0.36,0.7,2,2.62,Medium,Familiar,1,Poor,0.0,1.07,Moderate,External,0.52,1.66,0.65,High,1.09,5,0.96,0.51,Senior PM,Defined,Medium,Limited,Fixed-Price,Medium,Extreme,Regular,Formal,Formal,Partially Colocated,Excellent,3,7,1.0,High
Marketing,10,766036.13,22,8.23,7,Kanban,Expert,4,3,0.78,Execution,Stable,0.27,0.76,4,5.16,Low,New,2,Low,0.0,0.86,Moderate,Government,0.75,4.11,0.95,Critical,3.61,3,0.56,0.0,Senior PM,Optimizing,High,Poor,Time & Materials,Medium,Extreme,First-time,Formal,Formal,Hybrid,Poor,10,8,1.1,High
Construction,28,1580742.92,19,4.23,12,Waterfall,Mixed,1,3,2.06,Execution,Stable,0.24,0.81,0,4.82,Low,Familiar,4,Poor,0.0,1.22,Moderate,Internal,0.45,4.87,0.93,Medium,1.58,4,0.55,0.0,Senior PM,Managed,Medium,Limited,Cost-Plus,High,Moderate,Regular,Formal,Unknown,Hybrid,Good,7,5,1.0,High
IT,11,670530.8,13,6.09,5,Agile,Mixed,0,4,1.28,Monitoring,Stable,0.52,0.57,2,3.48,Low,Familiar,2,High,0.15,1.07,Moderate,External,0.03,7.04,0.38,Medium,0.93,0,0.9,0.54,Mid-level PM,Defined,Strict,Good,Hybrid,Low,High,Occasional,Basic,Basic,Hybrid,Basic,11,2,1.1,Medium
Marketing,8,768212.2,12,6.34,9,Scrum,Senior,5,5,0.77,Planning,Stable,0.26,0.68,5,2.83,Low,Expert,3,Excellent,0.24,1.14,Moderate,Internal,0.3,6.52,0.48,Critical,0.16,4,0.83,0.0,Mid-level PM,Defined,High,Moderate,Fixed-Price,Medium,Extreme,First-time,Formal,Basic,Partially Colocated,Basic,5,4,1.0,Low
IT,9,410448.33,10,4.25,9,Agile,Mixed,4,2,1.49,Initiation,Volatile,0.33,0.99,2,8.86,Low,Familiar,1,Poor,0.06,1.26,Weak,Mixed,0.14,9.42,0.82,Low,0.8,0,0.83,0.06,Senior PM,Ad-hoc,High,Good,Time & Materials,High,Moderate,Occasional,Basic,Formal,Hybrid,Basic,1,3,1.0,Critical
IT,13,946573.62,17,6.31,13,Agile,Expert,0,3,0.63,Planning,Stable,0.06,0.57,2,7.33,High,Familiar,4,Poor,0.0,0.89,Strong,Government,0.55,8.97,0.65,Critical,0.93,1,0.84,0.25,Senior PM,Managed,Strict,Limited,Hybrid,High,Moderate,Strategic,Advanced,Basic,Fully Colocated,Excellent,3,5,1.0,Low
Construction,35,1761888.67,26,7.6,18,Waterfall,Expert,0,5,0.68,Initiation,Moderate,0.38,0.56,3,0.58,Critical,Expert,5,Medium,0.0,1.22,Moderate,Internal,0.18,1.58,0.85,Medium,0.21,3,0.95,0.0,Senior PM,Optimizing,High,Good,Time & Materials,Medium,Moderate,First-time,Formal,Advanced,Fully Remote,Basic,6,5,1.0,Medium
Construction,18,1474202.91,15,3.58,16,Hybrid,Mixed,0,1,0.74,Closure,Moderate,0.25,0.86,0,4.98,Low,New,2,Medium,0.0,1.2,Strong,Mixed,0.36,1.67,0.69,High,0.73,6,0.96,0.0,Mid-level PM,Ad-hoc,Low,Moderate,Cost-Plus,High,Stable,Occasional,Unknown,Unknown,Hybrid,Basic,6,4,1.0,Medium
Manufacturing,12,847582.58,13,3.57,9,Hybrid,Junior,0,2,2.29,Execution,Moderate,0.39,0.69,2,0.94,Critical,Familiar,1,Excellent,0.0,1.11,Weak,External,0.46,5.69,0.38,High,1.31,5,0.93,0.0,Mid-level PM,Defined,Medium,Limited,Fixed-Price,Low,Stable,Regular,Basic,Unknown,Fully Colocated,Basic,12,4,1.0,High
Manufacturing,8,631687.0,13,6.43,10,Agile,Mixed,1,4,1.64,Monitoring,Stable,0.21,0.65,3,6.99,Medium,Familiar,5,Poor,0.19,0.98,Strong,Internal,0.28,6.5,0.4,Critical,1.6,2,0.55,0.0,Junior PM,Defined,Medium,Limited,Fixed-Price,Low,Moderate,First-time,Basic,Formal,Hybrid,Good,3,5,1.0,Medium
R&D,15,1258048.81,21,9.08,10,Agile,Mixed,0,4,1.71,Closure,Volatile,0.59,0.77,2,5.55,High,New,1,Excellent,0.07,0.79,Moderate,Mixed,0.33,4.95,0.56,High,0.7,7,0.72,0.0,Junior PM,Optimizing,Low,Limited,Time & Materials,Medium,High,First-time,Advanced,Basic,Fully Remote,Basic,12,2,1.0,High
R&D,18,1112703.84,21,9.21,14,Agile,Mixed,0,4,2.95,Planning,Moderate,0.69,0.36,0,4.71,Medium,Familiar,3,Low,0.09,1.26,Moderate,Internal,0.73,4.55,0.5,Medium,3.3,6,0.86,0.0,Mid-level PM,Optimizing,Medium,Limited,Hybrid,Low,Extreme,First-time,Formal,Advanced,Fully Colocated,Excellent,1,7,1.0,High
Construction,28,1536942.58,22,6.25,12,Waterfall,Junior,1,4,0.46,Initiation,Moderate,0.33,0.66,1,2.52,High,New,1,High,0.0,1.24,Weak,Internal,0.45,9.04,0.61,Medium,0.68,1,0.7,0.0,Senior PM,Managed,Medium,Excellent,Time & Materials,High,Moderate,Occasional,Formal,Basic,Fully Colocated,Excellent,12,9,1.0,Critical
Construction,33,2049969.21,26,5.63,20,Waterfall,Junior,0,3,4.26,Initiation,Moderate,0.19,0.83,2,2.76,Low,New,3,Low,0.0,0.61,Weak,External,0.1,9.2,0.7,High,1.19,7,0.64,0.0,Junior PM,Defined,Low,Limited,Fixed-Price,Medium,Stable,Strategic,Basic,Basic,Partially Colocated,Excellent,5,12,1.0,High
IT,19,1542084.25,21,9.11,11,Scrum,Expert,9,4,1.34,Closure,Moderate,0.26,0.78,2,2.79,Medium,Familiar,3,Medium,0.08,1.11,Strong,Internal,0.06,1.63,0.43,Low,0.08,3,0.9,0.02,Senior PM,Defined,Strict,Moderate,Cost-Plus,Low,High,Strategic,Basic,Basic,Fully Colocated,Good,9,1,1.0,Low
IT,13,966994.33,13,6.43,10,Agile,Mixed,0,4,1.66,Monitoring,Stable,0.44,0.7,0,7.43,Low,Familiar,5,Medium,0.19,1.23,Weak,Government,0.73,3.63,0.98,Critical,1.08,6,0.68,0.71,Mid-level PM,Optimizing,High,Limited,Cost-Plus,High,Stable,Strategic,Advanced,Basic,Fully Remote,Basic,11,4,1.1,Medium
Manufacturing,8,472684.94,13,6.03,8,Agile,Mixed,0,4,1.77,Planning,Volatile,0.25,0.64,0,5.86,Low,Familiar,2,Excellent,0.14,0.95,Moderate,External,0.2,5.95,0.92,Low,0.51,7,0.54,0.0,Junior PM,Managed,Medium,Limited,Time & Materials,High,Moderate,First-time,Basic,Unknown,Partially Colocated,Excellent,10,1,1.0,High
IT,11,1052077.65,13,6.0,9,Scrum,Mixed,1,2,3.29,Planning,Stable,0.32,0.76,4,1.09,High,Familiar,4,High,0.13,1.18,Moderate,Mixed,0.51,7.22,0.61,Critical,0.86,0,0.62,0.76,Senior PM,Managed,Medium,Excellent,Fixed-Price,High,High,Regular,Basic,Formal,Partially Colocated,Good,10,1,1.1,Medium
IT,15,1128415.52,21,10.0,8,Scrum,Senior,5,5,0.63,Execution,Volatile,0.12,0.91,1,1.84,Medium,Expert,2,Low,0.16,0.6,Moderate,Mixed,0.99,4.2,0.93,Low,0.79,3,0.85,0.54,Mid-level PM,Defined,High,Limited,Time & Materials,High,Extreme,Occasional,Unknown,Unknown,Partially Colocated,Excellent,9,9,1.0,High
Construction,20,1121880.68,18,5.13,10,Waterfall,Mixed,1,3,2.64,Initiation,Stable,0.34,0.98,2,3.65,High,Familiar,4,Low,0.0,0.71,Strong,External,0.24,1.71,0.93,Critical,1.67,1,0.52,0.0,Junior PM,Managed,Low,Moderate,Fixed-Price,High,Moderate,Occasional,Formal,Formal,Fully Remote,Good,1,6,1.0,High
Healthcare,10,563348.67,11,4.86,6,Hybrid,Mixed,2,2,1.2,Planning,Moderate,0.31,0.72,1,5.88,Medium,Expert,4,Medium,0.09,0.74,Moderate,External,0.6,8.75,0.72,Low,1.74,1,0.96,0.0,Mid-level PM,Managed,Strict,Limited,Hybrid,Low,High,Occasional,Formal,Formal,Hybrid,Basic,12,3,1.0,Low
Healthcare,11,429911.48,14,4.08,4,Waterfall,Junior,2,3,0.16,Closure,Moderate,0.54,0.75,0,2.04,Critical,Familiar,3,High,0.0,1.12,Moderate,Internal,0.27,1.94,0.53,High,0.35,7,0.46,0.0,Senior PM,Managed,Medium,Excellent,Hybrid,High,High,Occasional,Formal,Basic,Fully Remote,Excellent,9,4,1.0,High
Healthcare,11,1066616.5,14,5.25,10,Agile,Senior,2,3,1.01,Closure,Volatile,0.07,0.82,0,1.44,Critical,Familiar,5,Poor,0.0,0.8,Moderate,Internal,0.78,7.81,0.91,Critical,0.68,1,0.89,0.0,Senior PM,Managed,Strict,Moderate,Time & Materials,Medium,High,Regular,Formal,Formal,Hybrid,Excellent,1,2,1.0,Medium
Construction,40,2151938.72,31,8.64,16,Waterfall,Mixed,1,6,2.35,Planning,Volatile,0.21,0.94,3,2.59,Critical,Familiar,2,Medium,0.0,0.91,Moderate,Mixed,0.57,5.83,0.69,Low,0.6,6,0.79,0.0,Mid-level PM,Defined,High,Good,Cost-Plus,Low,High,Occasional,Basic,Unknown,Hybrid,Basic,8,10,1.0,High
IT,16,1173041.63,20,10.0,9,Scrum,Expert,4,4,2.09,Planning,Volatile,0.13,0.78,0,2.44,Medium,Familiar,5,Excellent,0.2,1.26,Moderate,External,0.16,5.07,0.97,High,0.77,2,0.83,0.18,Junior PM,Managed,Strict,Good,Cost-Plus,Low,High,Occasional,Formal,Advanced,Hybrid,Basic,2,9,1.0,Medium
Marketing,6,739299.14,11,5.14,8,Scrum,Senior,2,3,0.23,Monitoring,Moderate,0.17,0.78,1,4.12,Critical,Expert,5,Low,0.14,0.95,Weak,Internal,0.46,4.04,0.79,Low,0.33,1,0.77,0.0,Mid-level PM,Managed,Low,Poor,Cost-Plus,Low,Extreme,Regular,Formal,Formal,Hybrid,Good,8,3,1.0,Medium
IT,11,708663.55,16,6.34,5,Agile,Senior,6,4,1.02,Planning,Moderate,0.28,0.52,1,2.73,Critical,Familiar,5,Low,0.0,1.16,Moderate,Government,0.59,2.64,0.68,High,0.46,2,0.76,0.92,Junior PM,Managed,High,Excellent,Hybrid,Low,Moderate,Occasional,Basic,Formal,Partially Colocated,Basic,8,1,1.0,Medium
IT,7,592524.42,19,7.57,8,Kanban,Mixed,2,5,1.67,Closure,Moderate,0.23,0.74,2,4.39,Critical,Expert,4,Excellent,0.0,1.18,Moderate,External,0.72,6.08,0.79,Low,1.82,5,0.62,0.46,Mid-level PM,Managed,Strict,Good,Fixed-Price,Low,High,First-time,Formal,Unknown,Hybrid,Good,9,6,1.0,Medium
Marketing,14,735179.8,18,6.24,9,Waterfall,Senior,3,4,2.54,Execution,Volatile,0.54,0.73,3,4.97,Critical,Familiar,3,Poor,0.0,0.84,Weak,External,0.43,6.59,0.34,Low,3.88,0,0.52,0.0,Mid-level PM,Managed,High,Moderate,Time & Materials,High,Extreme,Occasional,Basic,Formal,Fully Remote,Good,5,1,1.0,Critical
R&D,19,1328910.6,25,10.0,15,Scrum,Senior,4,4,1.34,Closure,Moderate,0.19,0.87,2,2.48,Critical,New,2,Poor,0.0,0.68,Strong,Government,0.19,5.16,0.51,High,1.54,0,0.84,0.0,Mid-level PM,Defined,Strict,Moderate,Time & Materials,Low,Extreme,First-time,Unknown,Basic,Hybrid,Basic,1,2,1.0,High
IT,16,1321415.62,24,10.0,10,Agile,Mixed,2,5,0.66,Execution,Stable,0.25,0.78,1,0.59,High,Familiar,3,Excellent,0.04,0.66,Strong,Government,0.17,6.36,0.42,Low,1.39,5,0.7,0.04,Mid-level PM,Defined,Medium,Excellent,Cost-Plus,High,Extreme,Regular,Basic,Basic,Partially Colocated,Basic,7,4,1.0,Medium
IT,13,1188336.4,19,5.8,8,Kanban,Mixed,2,1,1.17,Initiation,Moderate,0.29,0.98,1,2.95,Medium,Expert,2,High,0.0,1.13,Weak,Internal,0.69,3.64,0.54,Medium,2.12,6,0.88,0.87,Mid-level PM,Optimizing,Medium,Good,Time & Materials,Medium,Stable,Strategic,Formal,Formal,Hybrid,Poor,2,3,1.0,Medium
IT,12,1019031.05,11,3.03,13,Scrum,Senior,2,3,0.22,Planning,Moderate,0.12,0.42,0,1.81,Critical,Familiar,1,Poor,0.0,1.28,Moderate,Government,0.38,8.34,0.85,High,0.34,5,0.69,0.58,Mid-level PM,Managed,Medium,Good,Time & Materials,Low,Stable,Strategic,Formal,Formal,Partially Colocated,Basic,9,2,1.0,Low
IT,7,555055.42,9,3.62,6,Agile,Mixed,4,1,0.98,Closure,Moderate,0.25,0.78,3,1.23,Low,Expert,1,Poor,0.01,0.83,Strong,Mixed,0.15,2.48,0.35,Medium,0.3,2,0.69,0.16,Junior PM,Managed,Medium,Limited,Fixed-Price,Low,High,Occasional,Formal,Formal,Fully Colocated,Good,9,1,1.0,Low
Manufacturing,7,843555.59,15,4.97,12,Kanban,Mixed,1,4,1.89,Execution,Moderate,0.31,0.83,1,3.26,Medium,Familiar,2,Medium,0.0,0.85,Moderate,External,0.93,1.07,0.54,Critical,0.45,5,0.76,0.0,Junior PM,Managed,Medium,Limited,Time & Materials,High,Stable,Regular,Formal,Formal,Hybrid,Excellent,1,3,1.0,High
IT,7,594801.66,15,5.05,6,Kanban,Senior,4,1,0.89,Monitoring,Moderate,0.11,0.69,2,2.28,Medium,Expert,3,Medium,0.0,1.09,Weak,Mixed,0.1,9.05,0.89,Critical,1.57,1,0.47,0.96,Senior PM,Managed,High,Poor,Hybrid,Low,Extreme,First-time,Formal,Unknown,Partially Colocated,Good,3,4,1.0,Critical
Marketing,7,610220.03,10,3.85,9,Hybrid,Mixed,0,3,0.25,Initiation,Moderate,0.31,0.81,2,3.51,Critical,Expert,2,High,0.0,1.21,Moderate,Internal,0.07,3.75,0.64,Medium,0.51,7,0.74,0.0,Junior PM,Optimizing,Medium,Good,Cost-Plus,High,Moderate,Strategic,Basic,Advanced,Hybrid,Basic,5,4,1.0,Medium
IT,7,492861.61,5,3.09,9,Scrum,Mixed,3,1,0.41,Planning,Moderate,0.27,0.51,3,3.42,Low,Familiar,3,High,0.35,0.69,Moderate,External,0.64,1.19,0.83,High,0.67,7,0.69,0.73,Senior PM,Optimizing,Strict,Limited,Fixed-Price,Low,Moderate,Regular,Formal,Formal,Partially Colocated,Good,4,1,1.0,Low
IT,10,1107094.86,20,7.1,8,Kanban,Mixed,3,2,1.86,Planning,Volatile,0.7,0.69,1,9.74,Critical,Familiar,4,Poor,0.0,0.68,Moderate,External,0.57,5.13,0.36,Critical,1.58,2,0.81,0.54,Junior PM,Managed,High,Moderate,Fixed-Price,High,Stable,Regular,Advanced,Formal,Fully Colocated,Good,5,3,1.0,High
